province,region,zipcode,latitude,longitude
Ontario,Toronto,M1B0A1,43.686504,-79.279742
Ontario,Toronto,M1B0A3,43.79696,-79.156258
Ontario,Toronto,M1B0A4,43.797545,-79.155118
Ontario,Toronto,M1B0A5,43.789494,-79.236569
Ontario,Toronto,M1B0A6,43.794456,-79.219561
Ontario,Toronto,M1B0A7,43.800545,-79.199056
Ontario,Toronto,M1B0A8,43.807898,-79.181014
Ontario,Toronto,M1B0A9,43.807595,-79.179604
Ontario,Toronto,M1B0B1,43.8078,-79.179282
Ontario,Toronto,M1B0B2,43.816935,-79.188804
Ontario,Toronto,M1B0B3,43.792123,-79.237009
Ontario,Toronto,M1B0B4,43.800215,-79.17919
Ontario,Toronto,M1B0B5,43.801637,-79.157297
Ontario,Toronto,M1B0B6,43.797893,-79.151503
Ontario,Toronto,M1B0B7,43.731566,-79.225162
Ontario,Toronto,M1B0B8,43.816935,-79.188804
Ontario,Toronto,M1B0B9,43.805885,-79.207531
Ontario,Toronto,M1B0C1,43.806687,-79.194353
Ontario,Toronto,M1B0C2,43.809053,-79.221438
Ontario,Toronto,M1B0C4,43.811566,-79.225327
Ontario,Toronto,M1B0C5,43.7905,-79.234164
Ontario,Toronto,M1B0C6,43.801433,-79.218017
Ontario,Toronto,M1B0C7,43.808033,-79.226389
Ontario,Toronto,M1B0C8,43.793656,-79.239811
Ontario,Toronto,M1B0C9,43.802606,-79.196815
Ontario,Toronto,M1B0E1,43.793136,-79.236562
Ontario,Toronto,M1B0E3,43.793656,-79.239811
Ontario,Toronto,M1B0E4,43.801674,-79.206208
Ontario,Toronto,M1B0E5,43.7632,-79.233271
Ontario,Toronto,M1B0E6,43.804524,-79.243181
Ontario,Toronto,M1B1A1,43.797724,-79.227187
Ontario,Toronto,M1B1A2,43.798343,-79.227465
Ontario,Toronto,M1B1A3,43.798252,-79.226112
Ontario,Toronto,M1B1A4,43.79809,-79.226693
Ontario,Toronto,M1B1A5,43.798496,-79.224344
